experiment_id,title,note,hypothesis,change,dataset_version,run_name,candidate,primary_metric,direction,reference_score,candidate_score,improvement,decision,reference_std,candidate_std,criteria_passed,primary_improvement_min,metric_guardrails,implementation_module,implementation_path,implementation_sha256,parent_experiment_id,parent_experiment_module,parent_implementation_sha256
EXP-002,"Заполнение пропусков Age с помощью ""Title"" и ""Pclass""",experiments/EXP-002 AGE_Experiment.md,"Если заполнить Age медианой по Title и Pclass внутри каждого train-fold, то accuracy повысится, потому что эти признаки несут информацию о возрасте.",Новый fold-safe способ заполнения пропусков Age,7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_002_v1,candidate,accuracy,maximize,0.7968740192078337,0.8035967610319503,0.0067227418241165,adopt,0.0162867737719035,0.0162897431176823,True,0.0,{},ml_project.experiments.exp_002_age_imputation,src/ml_project/experiments/exp_002_age_imputation.py,d35152a5d257c0e26f494e56295c77be51e5401cd76e0bc544ff54b91d9c01d4,EXP-001,,
EXP-003,Объединение SibSp и Parch в признак FamilySizeGroup,experiments/EXP-003 Family Size.md," if объединить признаки,и категоризировать then должен улучшиться accuracy, because потому, что данный признак будет лучше определять одиночек, либо семью так как зависимость нелинейная:1,2,3,4,>4 ","Взять признаки SibSp и Parch и объединить в FamilySize, относительно EXP002 больше ничего не менять",7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_003_v1,candidate,accuracy,maximize,0.8035967610319503,0.8204381394764922,0.0168413784445419,adopt,0.0162897431176823,0.0176025424862447,True,0.005,"{""Balanced accuracy"": 0.0, ""F1"": 0.0, ""Recall"": -0.01}",ml_project.experiments.exp_003_family_size,src/ml_project/experiments/exp_003_family_size.py,1e4a834e3e0ebc676add1d094ab371200c5102f6b01e98b7e91905fa37314aa1,EXP-002,ml_project.experiments.exp_002_age_imputation,d35152a5d257c0e26f494e56295c77be51e5401cd76e0bc544ff54b91d9c01d4
EXP-004,Рассчет точной цены билета!,experiments/EXP-004 Fareperperson.md," if создать группы по номеру билета, then точнее можно оценить стоимость билета на человека , because это лучше отражает действительноть, ценность билета!","Создать переменную TicketGroup, которая будет группировать билеты по номеру билета,и рассчитать FarePerPerson относительно EXP003 больше ничего не менять",7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_004_v1,candidate,accuracy,maximize,0.8204381394764922,0.815956311593748,-0.0044818278827442,reject,0.0176025424862447,0.0157767192652881,False,0.005,"{""Balanced accuracy"": 0.0, ""F1"": 0.0, ""Recall"": -0.01}",ml_project.experiments.exp_004_fareperperson,src/ml_project/experiments/exp_004_fareperperson.py,2cd798d8b76ca8205bf75d5d9e7bd01cfa3100b8705decad5beee32f687ec063,EXP-003,ml_project.experiments.exp_003_family_size,1e4a834e3e0ebc676add1d094ab371200c5102f6b01e98b7e91905fa37314aa1
EXP-005,Рассчет точной цены билета и лог преобразование,experiments/EXP-005 Log1Pfareperperson.md," if создать группы по номеру билета и из за скошенность прологорифмировать, then точнее можно оценить стоимость билета на человека , because это лучше отражает действительноть, ценность билета!","Создать переменную TicketGroup, которая будет группировать билеты по номеру билета,и рассчитать FarePerPerson и преобразовать log1p относительно EXP003 больше ничего не менять",7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_005_v1,candidate,accuracy,maximize,0.8204381394764922,0.8137028435126483,-0.0067352959638439,reject,0.0176025424862447,0.0132132022434298,False,0.005,"{""Balanced accuracy"": 0.0, ""F1"": 0.0, ""Recall"": -0.01}",ml_project.experiments.exp_005_log1pfareperperson,src/ml_project/experiments/exp_005_log1pfareperperson.py,31022544255717e7dab9e084851576396ce1c19c1c72e00b4a755eae223656c4,EXP-003,ml_project.experiments.exp_003_family_size,5a9da05775c8998fccc05cfcacc15721f39e178148141d3472799d26617c1ab6
EXP-006,Добавление новой Фичи IsnotAlone из TicketGroupSize,experiments/EXP-006 Dobavlenie Novoy Fichi Isnotalone Iz Ticketgroupsize.md,"  if добавится фича notAlone, then метрики должны улучшиться, because станет более понятно кто действительно едет в одиночестве ...","Добавить фичу IsnotAlone, которая будет определять едет ли пассажир один или с кем-то относительно EXP005 больше ничего не менять",7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_006_v1,candidate,accuracy,maximize,0.8204381394764922,0.8193145439708743,-0.0011235955056179,reject,0.0176025424862447,0.0154226182262415,False,0.005,{},ml_project.experiments.exp_006_dobavlenie_novoy_fichi_isnotalone_iz_ticketgroupsize,src/ml_project/experiments/exp_006_dobavlenie_novoy_fichi_isnotalone_iz_ticketgroupsize.py,8c2a64afad5213779867574c2296a3f3c19d43c888e89a294d418338c6aac77a,EXP-003,ml_project.experiments.exp_003_family_size,5a9da05775c8998fccc05cfcacc15721f39e178148141d3472799d26617c1ab6
EXP-007,Начало работы с CABIN,experiments/EXP-007 Knowncabin.md," — if я добавлю признак KnownCabin, then метрики должны улучшиться, because станет возможным лучше предсказывать выживаемость пассажиров"," Добавить признак KnownCabin, который будет показывать известна ли каюта у пассажира относительно EXP003 больше ничего не менять",7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_007_v1,candidate,accuracy,maximize,0.8204381394764922,0.8181909484652564,-0.0022471910112358,reject,0.0176025424862447,0.0195867388127015,False,0.0005,"{""Balanced accuracy"": 0.0, ""F1"": 0.0, ""Recall"": -0.01}",ml_project.experiments.exp_007_knowncabin,src/ml_project/experiments/exp_007_knowncabin.py,5b4408ed406474d6c61d488abcaef7053ed044b958ea3cbf4bd5fd2b1a350e2c,EXP-003,ml_project.experiments.exp_003_family_size,5a9da05775c8998fccc05cfcacc15721f39e178148141d3472799d26617c1ab6
EXP-008,Добавление фичи-Deck- палуба по первой букве CABIN,experiments/EXP-008 Deck.md,"— if палуба известна, then может повлиять на выживаемость, because палуба может быть связана с классом обслуживания и расположением каюты, что может влиять на шансы выживания.","взять признак Cabin, выделить первую букву и создать новый признак Deck, относительно EXP004 больше ничего не менять",7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_008_v1,candidate,accuracy,maximize,0.8204381394764922,0.8181846713953925,-0.0022534680810997,reject,0.0176025424862447,0.0212085090147682,False,0.005,"{""Balanced accuracy"": 0.0, ""F1"": 0.0, ""Recall"": -0.01}",ml_project.experiments.exp_008_deck,src/ml_project/experiments/exp_008_deck.py,31f5ad03a96949a1e82dce16115fdc3b6680dcc68f502c3223211b937d63e0f7,EXP-003,ml_project.experiments.exp_003_family_size,5a9da05775c8998fccc05cfcacc15721f39e178148141d3472799d26617c1ab6
EXP-010,Объединение признака pcclass и Sex  в один,experiments/EXP-010 Pclassxsex.md," if сделаю категориальный признак SexPclass, then модели будет удобнее работать, because данный признак будет лучше отражать действительно так как зависимость нелинейная ",Объединить признаки Pclass и Sex в один приз,7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_010_v1,candidate,accuracy,maximize,0.8204381394764922,0.8148264390182662,-0.005611700458226,reject,0.0176025424862447,0.0161970449801121,False,0.005,"{""Balanced accuracy"": 0.0, ""F1"": 0.0, ""Recall"": -0.01}",ml_project.experiments.exp_010_pclassxsex,src/ml_project/experiments/exp_010_pclassxsex.py,e2a4cd461dbf3e9ff890aa0a25b61d714a08d6798f979cce20738f5401cad081,EXP-003,ml_project.experiments.exp_003_family_size,5a9da05775c8998fccc05cfcacc15721f39e178148141d3472799d26617c1ab6
EXP-011,SexPlcass_V2,experiments/EXP-011 Sexplcass V2.md," if сделаю категориальный признак SexPclass, then модели будет удобнее работать, because данный признак будет лучше отражать действительно так как зависимость нелинейная ",Объединить признаки Pclass и Sex в один приз,7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_011_v1,candidate,accuracy,maximize,0.8204381394764922,0.8148264390182662,-0.005611700458226,reject,0.0176025424862447,0.0161970449801121,False,0.005,"{""Balanced accuracy"": 0.0, ""F1"": 0.0, ""Recall"": -0.01}",ml_project.experiments.exp_011_sexplcass_v2,src/ml_project/experiments/exp_011_sexplcass_v2.py,82edb29c4784b7963c1a44264134d8d2b680215443c8ecbaa70fdb3c589ce561,EXP-003,ml_project.experiments.exp_003_family_size,5a9da05775c8998fccc05cfcacc15721f39e178148141d3472799d26617c1ab6
EXP-012,EXP-005+ticketGroupSize,experiments/EXP-012 Exp 005 Ticketgroupsize.md," if создать группы по номеру билета и из за скошенность прологорифмировать, then точнее можно оценить стоимость билета на человека , because это лучше отражает действительноть, ценность билета!","Создать переменную TicketGroup, которая будет группировать билеты по номеру билета,и рассчитать FarePerPerson и преобразовать log1p относительно EXP003 больше ничего не менять",7d118fef8b6ccf7f81111877bc388536f7b1e498a655e3d649d19aaa010e9f6f,exp_012_v1,candidate,accuracy,maximize,0.8204381394764922,0.8137028435126483,-0.0067352959638439,reject,0.0176025424862447,0.0112803460171484,False,0.005,"{""Balanced accuracy"": 0.0, ""F1"": 0.0, ""Recall"": -0.01}",ml_project.experiments.exp_012_exp_005_ticketgroupsize,src/ml_project/experiments/exp_012_exp_005_ticketgroupsize.py,37312d67950a3a3c0acb94cc43578d36b98b1b4bf97e1454a56605f02f993a45,EXP-003,ml_project.experiments.exp_003_family_size,5a9da05775c8998fccc05cfcacc15721f39e178148141d3472799d26617c1ab6
